normalization,start date,,population,,,,start date,,population,,,,start date,,population,,,,start date,,population,,,,start date,,population,,,,start date,,population,,,,start date,,population,,,
,20200222,,60,,,,20200301,,83,,,,20200229,,47,,,,20200304,,7,,,,20200219,,52,,,,20200301,,68,,,,20200227,,10,,,
day,n(it),t(it),nx(it),tx(it),q(it),td(it),n(de),t(de),nx(de),tx(de),q(de),td(de),n(es),t(es),nx(es),tx(es),q(es),td(es),n(ie),t(ie),nx(ie),tx(ie),q(ie),td(ie),n(kr),t(kr),nx(kr),tx(kr),q(kr),td(kr),n(uk),t(uk),nx(uk),tx(uk),q(uk),td(uk),n(se),t(se),nx(se),tx(se),q(se),td(se)
1,58,79,58,79,1.00,0.0,51,130,37,94,1.00,0.0,25,56,32,72,1.00,0.0,4,6,37,55,1.00,0.0,27,58,31,68,1.00,0.0,13,36,12,32,1.00,0.0,5,7,29,41,1.00,0.0
2,78,157,78,157,1.99,0.0,35,165,25,120,1.27,0.0,26,84,34,108,1.50,0.0,7,13,64,119,2.17,0.0,53,111,62,129,1.91,0.0,3,39,3,35,1.08,0.0,4,11,23,64,1.57,0.0
3,72,229,72,229,1.46,1.3,38,203,28,147,1.23,3.1,36,120,46,155,1.43,1.8,5,18,46,165,1.38,1.2,98,209,114,244,1.88,1.1,12,51,11,46,1.31,3.9,2,13,12,76,1.18,2.2
4,94,323,94,323,1.41,1.4,59,262,43,190,1.29,3.0,45,165,58,213,1.38,1.9,1,19,9,174,1.06,1.6,227,436,265,508,2.09,1.0,36,87,32,78,1.71,2.2,1,14,6,82,1.08,2.8
5,147,470,147,470,1.46,1.9,283,545,205,396,2.08,1.6,63,228,81,294,1.38,2.1,2,21,18,193,1.11,4.1,166,602,193,702,1.38,1.2,29,116,26,103,1.33,1.9,1,15,6,87,1.07,6.6
6,185,655,185,655,1.39,2.0,125,670,91,486,1.23,1.6,54,282,70,364,1.24,2.4,3,24,28,220,1.14,7.2,231,833,269,971,1.38,1.4,48,164,43,146,1.41,1.8,15,30,87,175,2.00,2.1
7,234,889,234,889,1.36,2.1,130,800,94,581,1.19,1.7,119,401,153,517,1.42,2.3,10,34,92,312,1.42,3.5,144,977,168,1139,1.17,2.5,45,209,40,186,1.27,2.4,22,52,128,303,1.73,1.5
8,239,1128,239,1128,1.27,2.4,240,1040,174,755,1.30,3.2,124,525,160,677,1.31,2.5,9,43,83,394,1.26,2.9,284,1261,331,1470,1.29,2.8,69,278,62,248,1.33,2.4,42,94,245,548,1.81,1.1
9,573,1701,573,1701,1.51,2.2,184,1224,134,888,1.18,3.4,149,674,192,869,1.28,2.4,27,70,248,642,1.63,1.9,505,1766,589,2058,1.40,2.7,43,321,38,286,1.15,3.1,43,137,251,799,1.46,1.4
10,335,2036,335,2036,1.20,2.5,341,1565,248,1136,1.28,3.1,557,1231,718,1588,1.83,1.8,20,90,183,825,1.29,2.1,571,2337,665,2724,1.32,2.4,62,383,55,342,1.19,3.4,24,161,140,939,1.18,1.8
