day,n(it),t(it),nx(it),tx(it),q(it),td(it),in(it),n(de),t(de),nx(de),tx(de),q(de),td(de),in(de),n(es),t(es),nx(es),tx(es),q(es),td(es),in(es),n(ie),t(ie),nx(ie),tx(ie),q(ie),td(ie),in(ie),n(kr),t(kr),nx(kr),tx(kr),q(kr),td(kr),in(kr),n(uk),t(uk),nx(uk),tx(uk),q(uk),td(uk),in(uk),n(se),t(se),nx(se),tx(se),q(se),td(se),in(se),n(st),t(st),nx(st),tx(st),q(st),td(st),in(st),n(at),t(at),nx(at),tx(at),q(at),td(at),in(at),n(ch),t(ch),nx(ch),tx(ch),q(ch),td(ch),in(ch),n(us),t(us),nx(us),tx(us),q(us),td(us),in(us)
1,58,79,58,79,1.00,,,54,111,39,81,1.00,,,19,54,25,70,1.00,,,4,6,37,55,1.00,,,15,46,17,54,1.00,,,12,42,11,37,1.00,,,1,2,6,12,1.00,,,0,1,0,116,1.00,,,3,10,20,68,1.00,,,7,8,49,56,1.00,,,105,338,19,62,1.00,,
2,78,157,78,157,1.99,,,18,129,13,94,1.16,,,28,82,36,106,1.52,,,7,13,64,119,2.17,,,34,80,40,93,1.74,,,5,47,4,42,1.12,,,5,7,29,41,3.50,,,0,1,0,116,1.00,,,4,14,27,95,1.40,,,4,12,28,84,1.50,,,95,433,17,79,1.28,,
3,72,229,72,229,1.46,,,28,157,20,114,1.22,,,54,136,70,175,1.66,,,5,18,46,165,1.38,,,75,155,87,181,1.94,,,22,69,20,62,1.47,,,5,12,29,70,1.71,,,0,1,0,116,1.00,,,4,18,27,122,1.29,,,6,18,42,125,1.50,,,121,554,22,101,1.28,,
4,93,322,93,322,1.41,,,39,196,28,142,1.25,,,56,192,72,248,1.41,,,1,19,9,174,1.06,,,190,345,221,402,2.23,,,40,109,36,97,1.58,,,1,13,6,76,1.08,,,0,1,0,116,1.00,,,6,24,41,162,1.33,,,6,24,42,167,1.33,,,200,754,36,137,1.36,,
5,78,400,78,400,1.24,,,66,262,48,190,1.34,,,75,267,97,344,1.39,,,2,21,18,193,1.11,,,256,601,298,700,1.74,,,55,164,49,146,1.50,,,1,14,6,82,1.08,,,0,1,0,116,1.00,,,5,29,34,196,1.21,,,6,30,42,209,1.25,,,271,1025,49,187,1.36,,
6,250,650,250,650,1.63,1.9,,138,400,100,290,1.53,3.1,,81,348,104,449,1.30,2.1,,14,35,128,321,1.67,2.1,,161,762,188,888,1.27,1.4,,56,220,50,196,1.34,2.4,,1,15,6,87,1.07,1.5,,0,1,0,116,1.00,,,12,41,81,278,1.41,2.9,,7,37,49,258,1.23,2.6,,287,1312,52,239,1.28,3.0,
7,238,888,238,888,1.37,1.7,1.4,284,684,206,497,1.71,2.2,0.8,183,531,236,685,1.53,1.8,1.1,8,43,73,394,1.23,1.9,0.6,130,892,152,1040,1.17,1.3,1.7,51,271,46,242,1.23,2.2,0.4,9,24,52,140,1.60,1.3,0.2,0,1,0,116,1.00,,0.0,33,74,223,501,1.80,2.0,0.8,20,57,139,397,1.54,2.1,0.6,351,1663,64,303,1.27,2.6,0.4
8,240,1128,240,1128,1.27,2.1,1.7,163,847,118,615,1.24,2.2,0.9,233,764,301,985,1.44,1.8,1.5,27,70,248,642,1.63,2.3,1.0,254,1146,296,1336,1.28,1.5,2.1,81,352,72,314,1.30,2.0,0.5,11,35,64,204,1.46,2.4,0.3,0,1,0,116,1.00,,0.0,25,99,169,670,1.34,2.1,1.0,30,87,209,606,1.53,2.1,0.9,511,2174,93,396,1.31,2.6,0.6
9,566,1694,566,1694,1.50,2.1,2.6,55,902,40,655,1.06,2.3,0.9,330,1094,426,1411,1.43,2.0,2.2,21,91,193,834,1.30,2.4,1.2,449,1595,523,1859,1.39,1.7,2.9,60,412,54,368,1.17,2.3,0.5,26,61,152,356,1.74,2.4,0.5,3,4,347,463,4.00,1.7,0.6,3,102,20,690,1.03,2.3,1.0,122,209,849,1455,2.40,1.6,2.3,777,2951,141,537,1.36,2.5,0.8
10,342,2036,342,2036,1.20,2.2,3.0,237,1139,172,827,1.26,2.3,1.2,433,1527,558,1970,1.40,2.0,3.0,38,129,348,1183,1.42,2.1,1.7,427,2022,498,2356,1.27,2.3,3.6,57,469,51,418,1.14,2.8,0.6,76,137,443,799,2.25,1.6,1.2,5,9,578,1041,2.25,1.3,1.5,29,131,196,887,1.28,2.3,1.3,55,264,383,1838,1.26,1.6,2.8,823,3774,150,687,1.28,2.6,1.0
11,466,2502,466,2502,1.23,2.2,3.6,157,1296,114,941,1.14,2.5,1.3,772,2299,996,2965,1.51,1.9,4.5,40,169,367,1549,1.31,2.0,2.3,909,2931,1059,3416,1.45,2.6,5.0,148,617,132,550,1.32,3.1,0.8,24,161,140,939,1.18,1.6,1.4,0,9,0,1041,1.00,1.3,1.5,51,182,345,1232,1.39,2.2,1.8,68,332,473,2312,1.26,1.6,3.6,887,4661,161,849,1.24,2.7,1.2
12,587,3089,587,3089,1.23,2.6,4.5,271,1567,197,1137,1.21,2.9,1.6,975,3274,1258,4223,1.42,1.9,6.4,54,223,495,2045,1.32,2.2,3.1,595,3526,693,4109,1.20,2.7,5.7,259,876,231,782,1.42,3.0,1.1,42,203,245,1184,1.26,1.5,1.8,0,9,0,1041,1.00,1.3,1.5,64,246,433,1665,1.35,2.2,2.4,42,374,292,2604,1.13,1.7,4.0,1766,6427,322,1170,1.38,2.6,1.6
13,769,3858,769,3858,1.25,2.8,5.3,802,2369,582,1720,1.51,3.3,2.4,1153,4427,1487,5710,1.35,2.0,8.7,69,292,633,2677,1.31,2.1,3.9,686,4212,799,4909,1.19,2.7,6.7,406,1282,362,1144,1.46,2.6,1.6,45,248,262,1446,1.22,1.7,2.3,29,38,3354,4395,4.22,0.9,7.1,115,361,778,2444,1.47,2.6,3.6,116,490,808,3412,1.31,1.8,5.2,2988,9415,544,1714,1.46,2.4,2.4
14,778,4636,778,4636,1.20,2.9,6.2,693,3062,503,2223,1.29,3.1,2.9,1531,5958,1975,7685,1.35,2.0,11.6,74,366,678,3356,1.25,2.5,4.9,600,4812,699,5608,1.14,2.9,7.6,484,1766,432,1576,1.38,2.5,2.2,78,326,455,1901,1.31,1.7,2.9,37,75,4280,8675,1.97,0.8,14.2,143,504,968,3411,1.40,2.5,4.8,152,642,1058,4470,1.31,1.9,6.8,4835,14250,880,2594,1.51,2.2,3.8
