normalization,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,
,20200222,,60.263,,,,,20200301,,83.019,,,,,20200229,,46.723,,,,,20200304,,6.573,,,,,20200219,,51.709,,,,,20200301,,67.545,,,,,20200227,,10.333,,,,,20200227,,0.521,,,,,20200229,,8.903,,,,,20200227,,8.655,,,,,20200307,,331.003,,,,
day,n(it),t(it),nx(it),tx(it),q(it),td(it),in(it),n(de),t(de),nx(de),tx(de),q(de),td(de),in(de),n(es),t(es),nx(es),tx(es),q(es),td(es),in(es),n(ie),t(ie),nx(ie),tx(ie),q(ie),td(ie),in(ie),n(kr),t(kr),nx(kr),tx(kr),q(kr),td(kr),in(kr),n(uk),t(uk),nx(uk),tx(uk),q(uk),td(uk),in(uk),n(se),t(se),nx(se),tx(se),q(se),td(se),in(se),n(st),t(st),nx(st),tx(st),q(st),td(st),in(st),n(at),t(at),nx(at),tx(at),q(at),td(at),in(at),n(ch),t(ch),nx(ch),tx(ch),q(ch),td(ch),in(ch),n(us),t(us),nx(us),tx(us),q(us),td(us),in(us)
1,58,79,58,79,1.00,,,51,130,37,94,1.00,,,25,56,32,72,1.00,,,4,6,37,55,1.00,,,27,58,31,68,1.00,,,13,36,12,32,1.00,,,5,7,29,41,1.00,,,0,1,0,116,1.00,,,3,10,20,68,1.00,,,7,8,49,56,1.00,,,116,435,21,79,1.00,,
2,78,157,78,157,1.99,,,35,165,25,120,1.27,,,26,84,34,108,1.50,,,7,13,64,119,2.17,,,53,111,62,129,1.91,,,3,39,3,35,1.08,,,4,11,23,64,1.57,,,0,1,0,116,1.00,,,4,14,27,95,1.40,,,7,15,49,104,1.88,,,106,541,19,98,1.24,,
3,72,229,72,229,1.46,,,38,203,28,147,1.23,,,36,120,46,155,1.43,,,5,18,46,165,1.38,,,98,209,114,244,1.88,,,12,51,11,46,1.31,,,2,13,12,76,1.18,,,0,1,0,116,1.00,,,4,18,27,122,1.29,,,4,19,28,132,1.27,,,163,704,30,128,1.30,,
4,94,323,94,323,1.41,,,59,262,43,190,1.29,,,45,165,58,213,1.38,,,1,19,9,174,1.06,,,227,436,265,508,2.09,,,36,87,32,78,1.71,,,1,14,6,82,1.08,,,0,1,0,116,1.00,,,6,24,41,162,1.33,,,5,24,35,167,1.26,,,290,994,53,181,1.41,,
5,147,470,147,470,1.46,,,283,545,205,396,2.08,,,63,228,81,294,1.38,,,2,21,18,193,1.11,,,166,602,193,702,1.38,,,29,116,26,103,1.33,,,1,15,6,87,1.07,,,0,1,0,116,1.00,,,5,29,34,196,1.21,,,6,30,42,209,1.25,,,307,1301,56,237,1.31,,
6,185,655,185,655,1.39,1.9,,125,670,91,486,1.23,2.3,,54,282,70,364,1.24,2.5,,3,24,28,220,1.14,2.6,,231,833,269,971,1.38,1.5,,48,164,43,146,1.41,2.6,,15,30,87,175,2.00,2.5,,0,1,0,116,1.00,,,14,43,95,291,1.48,2.8,,28,58,195,404,1.93,1.9,,329,1630,60,297,1.25,3.1,
7,234,889,234,889,1.36,1.7,1.4,130,800,94,581,1.19,2.1,0.9,119,401,153,517,1.42,2.1,0.8,10,34,92,312,1.42,2.2,0.5,144,977,168,1139,1.17,1.4,1.8,45,209,40,186,1.27,2.3,0.3,22,52,128,303,1.73,1.9,0.5,0,1,0,116,1.00,,0.0,23,66,156,447,1.53,2.2,0.7,35,93,244,648,1.60,1.6,1.1,553,2183,101,397,1.34,2.6,0.6
8,239,1128,239,1128,1.27,2.1,1.7,240,1040,174,755,1.30,2.1,1.1,124,525,160,677,1.31,2.3,1.0,9,43,83,394,1.26,3.4,0.6,284,1261,331,1470,1.29,1.6,2.3,69,278,62,248,1.33,2.1,0.4,42,94,245,548,1.81,1.8,0.8,0,1,0,116,1.00,,0.0,15,81,102,548,1.23,2.3,0.8,27,120,188,836,1.29,1.9,1.3,588,2771,107,504,1.27,2.5,0.7
9,573,1701,573,1701,1.51,2.1,2.6,184,1224,134,888,1.18,2.2,1.3,149,674,192,869,1.28,2.4,1.3,27,70,248,642,1.63,2.9,0.9,505,1766,589,2058,1.40,1.9,3.2,43,321,38,286,1.15,2.2,0.4,43,137,251,799,1.46,1.6,1.2,3,4,347,463,4.00,1.7,0.6,23,104,156,704,1.28,2.3,1.0,94,214,655,1490,1.78,1.7,2.3,846,3617,154,659,1.31,2.5,0.9
10,335,2036,335,2036,1.20,2.2,3.0,341,1565,248,1136,1.28,2.2,1.6,557,1231,718,1588,1.83,2.0,2.4,20,90,183,825,1.29,2.6,1.1,571,2337,665,2724,1.32,2.5,4.1,62,383,55,342,1.19,2.8,0.5,24,161,140,939,1.18,1.6,1.4,5,9,578,1041,2.25,1.3,1.5,27,131,183,887,1.26,2.4,1.3,54,268,376,1866,1.25,1.7,2.9,987,4604,180,838,1.27,2.7,1.2
11,466,2502,466,2502,1.23,2.5,3.6,401,1966,291,1427,1.26,3.2,2.1,464,1695,598,2186,1.38,2.0,3.3,39,129,358,1183,1.43,2.2,1.7,813,3150,947,3671,1.35,2.5,5.2,77,460,69,410,1.20,3.0,0.6,42,203,245,1184,1.26,1.5,1.8,0,9,0,1041,1.00,1.3,1.5,51,182,345,1232,1.39,2.2,1.8,64,332,446,2312,1.24,1.7,3.6,1753,6357,319,1157,1.38,2.6,1.6
12,587,3089,587,3089,1.23,2.6,4.3,779,2745,565,1993,1.40,2.9,2.6,582,2277,751,2937,1.34,1.9,4.4,41,170,376,1559,1.32,2.1,2.3,586,3736,683,4354,1.19,2.7,6.1,130,590,116,526,1.28,3.2,0.7,57,260,332,1516,1.28,1.9,2.4,0,9,0,1041,1.00,1.3,1.5,64,246,433,1665,1.35,2.4,2.4,42,374,292,2604,1.13,2.1,4.0,2960,9317,539,1696,1.47,2.4,2.4
13,769,3858,769,3858,1.25,2.8,5.3,930,3675,675,2668,1.34,2.7,3.6,869,3146,1121,4058,1.38,2.0,6.1,53,223,486,2045,1.31,2.2,3.0,599,4335,698,5052,1.16,2.8,6.8,208,798,186,712,1.35,3.1,0.9,95,355,554,2070,1.37,2.1,3.1,29,38,3354,4395,4.22,0.9,7.1,115,361,778,2444,1.47,2.4,3.6,123,497,856,3461,1.33,2.4,5.1,4581,13898,834,2530,1.49,2.2,3.7
14,778,4636,778,4636,1.20,2.9,6.2,924,4599,671,3338,1.25,2.8,4.6,2086,5232,2691,6748,1.66,1.8,10.3,69,292,633,2677,1.31,2.1,3.9,851,5186,992,6044,1.20,2.9,8.1,342,1140,305,1017,1.43,2.9,1.4,145,500,846,2916,1.41,2.5,4.3,37,75,4280,8675,1.97,0.8,14.2,143,504,968,3411,1.40,2.3,4.9,155,652,1079,4540,1.31,2.4,6.5,5653,19551,1029,3559,1.41,2.1,5.2
15,1247,5883,1247,5883,1.27,3.3,7.9,1214,5813,881,4220,1.26,2.7,5.7,1159,6391,1495,8243,1.22,1.8,12.6,74,366,678,3356,1.25,2.5,4.9,435,5621,507,6551,1.08,3.5,8.4,251,1391,224,1241,1.22,2.8,1.6,187,687,1091,4007,1.37,2.6,5.7,29,104,3354,12029,1.39,1.0,19.8,151,655,1022,4434,1.30,2.3,6.4,216,868,1504,6044,1.33,2.9,8.6,4867,24418,886,4446,1.25,2.2,6.5
16,1492,7375,1492,7375,1.25,3.2,9.4,1459,7272,1059,5279,1.25,2.7,7.3,1597,7988,2060,10303,1.25,2.2,15.7,191,557,1751,5107,1.52,2.3,7.4,663,6284,773,7324,1.12,4.1,8.7,152,1543,136,1377,1.11,2.9,1.8,127,814,741,4747,1.18,2.5,6.6,21,125,2429,14458,1.20,1.2,23.2,205,860,1388,5821,1.31,2.2,8.5,271,1139,1887,7931,1.31,2.9,10.7,9422,33840,1715,6161,1.39,2.1,9.1
